Var1,Location,Confidence,Condition
P08237,Cytoskeleton,High,Control
P08238,Cytoskeleton,High,Control
P08559,Cytoskeleton,High,Control
P08572,Nucleus,High,Control
P08574,Cytoskeleton,High,Control
P08670,Cytoskeleton,High,Control
P08708,Cytoskeleton,High,Control
P08758,Cytoskeleton,High,Control
P08865,Cytoskeleton,High,Control
P09104,Cytoskeleton,High,Control
P09110,Plasma membrane,High,Control
P09211,Cytoskeleton,High,Control
P09382,Cytoskeleton,High,Control
P09417,Cytoskeleton,High,Control
P09429,Cytoskeleton,High,Control
P09455,Cytoplasm,High,Control
P09471,Cytoskeleton,High,Control
P09488,Cytoskeleton,High,Control
P09496,Cytoskeleton,High,Control
P09497,Cytoskeleton,High,Control
P09525,Presynapse,High,Control
P09543,Cytoskeleton,High,Control
P09622,Cytoskeleton,High,Control
P09651,Cytoskeleton,High,Control
P09669,Cytoskeleton,High,Control
P09936,Cytoskeleton,High,Control
P09960,Cytoplasm,High,Control
P09972,Cytoskeleton,High,Control
P0C0L5,Cytoskeleton,High,Control
P0DMV9,Cytoskeleton,High,Control
P0DOY3,Cytoskeleton,High,Control
P0DP25,Cytoskeleton,High,Control
P0DPI2,Cytoskeleton,High,Control
P10114,Plasma membrane,High,Control
P10155,Cytoplasm,High,Control
P10412,Cytoskeleton,High,Control
P10451,Cytoplasm,High,Control
P10515,Cytoskeleton,High,Control
P10599,Cytoskeleton,High,Control
P10636,Cytoskeleton,High,Control
P10645,Cytoskeleton,High,Control
P10768,Cytoskeleton,High,Control
P10809,Cytoskeleton,High,Control
P10909,Cytoskeleton,High,Control
P10915,Cytoskeleton,High,Control
P11021,Cytoskeleton,High,Control
P11047,Nucleus,High,Control
P11137,Cytoskeleton,High,Control
P11142,Cytoskeleton,High,Control
P11177,Cytoskeleton,High,Control
P11182,Mitochondria,High,Control
P11215,Endoplasmic Reticulum,High,Control
P11216,Cytoskeleton,High,Control
P11217,Cytoskeleton,High,Control
P11233,Cytoskeleton,High,Control
P11279,Plasma membrane,High,Control
P11498,Cytoskeleton,High,Control
P11532,Endoplasmic Reticulum,High,Control
P11766,Cytoskeleton,High,Control
P11940,Cytoskeleton,High,Control
P12036,Cytoskeleton,High,Control
P12074,Cytoskeleton,High,Control
P12235,Cytoskeleton,High,Control
P12236,Cytoskeleton,High,Control
P12277,Cytoskeleton,High,Control
P12429,Cytoplasm,High,Control
P12532,Cytoskeleton,High,Control
P13010,Cytoskeleton,High,Control
P13073,Cytoskeleton,High,Control
P13489,Cytoskeleton,High,Control
P13611,Cytoskeleton,High,Control
P13637,Cytoskeleton,High,Control
P13639,Cytoskeleton,High,Control
P13716,Cytoskeleton,High,Control
P13796,Cytoplasm,High,Control
P13804,Cytoskeleton,High,Control
P13861,Cytoskeleton,High,Control
P13929,Cytoplasm,High,Control
P14136,Cytoskeleton,High,Control
P14174,Cytoskeleton,High,Control
P14314,Endoplasmic Reticulum,High,Control
P14324,Cytoplasm,High,Control
P14406,Cytoskeleton,High,Control
P14415,Cytoskeleton,High,Control
P14543,Nucleus,High,Control
P14550,Cytoskeleton,High,Control
P14618,Cytoskeleton,High,Control
P14625,Cytoskeleton,High,Control
P14649,Endoplasmic Reticulum,High,Control
P14854,Cytoskeleton,High,Control
P14866,Cytoskeleton,High,Control
P14923,Endoplasmic Reticulum,High,Control
P14927,Cytoskeleton,High,Control
P15104,Cytoskeleton,High,Control
P15121,Cytoskeleton,High,Control
P15259,Cytoplasm,High,Control
P15311,Cytoskeleton,High,Control
P15531,Cytoskeleton,High,Control
P15559,Cytoplasm,High,Control
P15880,Cytoskeleton,High,Control
P16144,Endoplasmic Reticulum,High,Control
P16152,Cytoskeleton,High,Control
P16219,Cytoskeleton,High,Control
P16435,Endoplasmic Reticulum,High,Control
P16615,Cytoskeleton,High,Control
P16870,Endoplasmic Reticulum,High,Control
P16930,Cytoplasm,High,Control
P16949,Cytoskeleton,High,Control
P17066,Cytoskeleton,High,Control
P17174,Cytoskeleton,High,Control
P17301,Cytoskeleton,High,Control
P17302,Cytoskeleton,High,Control
P17655,Cytoskeleton,High,Control
P17677,Cytoskeleton,High,Control
P17812,Endoplasmic Reticulum,High,Control
P17858,Cytoskeleton,High,Control
P17987,Cytoskeleton,High,Control
P18077,Plasma membrane,High,Control
P18124,Cytoskeleton,High,Control
P18206,Cytoskeleton,High,Control
P18621,Cytoskeleton,High,Control
P18669,Cytoskeleton,High,Control
P18859,Cytoskeleton,High,Control
P19086,Cytoskeleton,High,Control
P19174,Cytoplasm,High,Control
P19338,Cytoskeleton,High,Control
P19367,Cytoskeleton,High,Control
P19525,Endoplasmic Reticulum,High,Control
P19623,Cytoplasm,High,Control
P19634,Endoplasmic Reticulum,High,Control
P19652,Cytoplasm,High,Control
P19971,Cytoplasm,High,Control
P20073,Cytoskeleton,High,Control
P20336,Cytoskeleton,High,Control
P20340,Cytoplasm,High,Control
P20618,Cytoskeleton,High,Control
P20645,Endoplasmic Reticulum,High,Control
P20674,Cytoskeleton,High,Control
P20700,Nucleus,High,Control
P20810,Cytoplasm,High,Control
P20916,Cytoskeleton,High,Control
P21266,Cytoskeleton,High,Control
P21281,Cytoskeleton,High,Control
P21283,Cytoskeleton,High,Control
P21291,Cytoskeleton,High,Control
P21333,Cytoskeleton,High,Control
P21359,Endoplasmic Reticulum,High,Control
P21399,Cytoplasm,High,Control
P21796,Cytoskeleton,High,Control
P21926,Cytoskeleton,High,Control
P21953,Postsynapse,High,Control
P21964,Plasma membrane,High,Control
P21980,Nucleus,High,Control
P22033,Mitochondria,High,Control
P22061,Cytoskeleton,High,Control
P22234,Cytoskeleton,High,Control
P22307,Endoplasmic Reticulum,High,Control
P22314,Cytoskeleton,High,Control
P22392,Cytoskeleton,High,Control
P22570,Cytoskeleton,High,Control
P22626,Cytoskeleton,High,Control
P22694,Cytoskeleton,High,Control
P22695,Cytoskeleton,High,Control
P22732,Endoplasmic Reticulum,High,Control
P22748,Endoplasmic Reticulum,High,Control
P23142,Cytoplasm,High,Control
P23246,Cytoskeleton,High,Control
P23284,Cytoskeleton,High,Control
P23297,Cytoskeleton,High,Control
P23368,Cytoskeleton,High,Control
P23381,Cytoskeleton,High,Control
P23396,Cytoskeleton,High,Control
P23471,Cytoskeleton,High,Control
P23515,Cytoskeleton,High,Control
P23526,Cytoskeleton,High,Control
P23634,Cytoskeleton,High,Control
P23763,Cytoskeleton,High,Control
P24043,Nucleus,High,Control
P24534,Cytoskeleton,High,Control
P24539,Cytoskeleton,High,Control
P24666,Cytoplasm,High,Control
P24752,Cytoskeleton,High,Control
P24821,Cytoskeleton,High,Control
P25098,Endoplasmic Reticulum,High,Control
P25325,Cytoplasm,High,Control
P25398,Cytoskeleton,High,Control
P25686,Endoplasmic Reticulum,High,Control
P25705,Cytoskeleton,High,Control
P25786,Cytoskeleton,High,Control
P25787,Cytoskeleton,High,Control
P25789,Cytoskeleton,High,Control
P26038,Cytoskeleton,High,Control
P26232,Cytoskeleton,High,Control
P26373,Cytoskeleton,High,Control
P26440,Cytoskeleton,High,Control
P26639,Cytoskeleton,High,Control
P26640,Cytoskeleton,High,Control
P26641,Cytoskeleton,High,Control
P27144,Mitochondria,High,Control
P27338,Cytoskeleton,High,Control
P27348,Cytoskeleton,High,Control
P27361,Cytoskeleton,High,Control
P27449,Presynapse,High,Control
P27635,Cytoskeleton,High,Control
P27797,Cytoskeleton,High,Control
P27816,Cytoskeleton,High,Control
P27824,Cytoskeleton,High,Control
P28066,Cytoskeleton,High,Control
P28070,Cytoplasm,High,Control
P28074,Cytoplasm,High,Control
P28161,Cytoskeleton,High,Control
P28288,Endoplasmic Reticulum,High,Control
P28482,Cytoskeleton,High,Control
P28838,Cytoskeleton,High,Control
P29401,Cytoskeleton,High,Control
P29972,Cytoskeleton,High,Control
P29992,Plasma membrane,High,Control
P30038,Cytoskeleton,High,Control
P30040,Cytoskeleton,High,Control
P30041,Cytoskeleton,High,Control
P30043,Cytoskeleton,High,Control
P30044,Cytoskeleton,High,Control
P30046,Cytoskeleton,High,Control
P30048,Cytoskeleton,High,Control
P30049,Cytoskeleton,High,Control
P30050,Cytoskeleton,High,Control
P30084,Cytoskeleton,High,Control
P30085,Cytoskeleton,High,Control
P30086,Cytoskeleton,High,Control
P30101,Cytoskeleton,High,Control
P30153,Cytoskeleton,High,Control
P30536,Endoplasmic Reticulum,High,Control
P30626,Cytoskeleton,High,Control
P30740,Cytoplasm,High,Control
P30837,Mitochondria,High,Control
P31040,Cytoskeleton,High,Control
P31146,Cytoskeleton,High,Control
P31150,Cytoskeleton,High,Control
P31323,Cytoskeleton,High,Control
P31930,Cytoskeleton,High,Control
P31942,Nucleus,High,Control
P31946,Cytoskeleton,High,Control
P31948,Cytoskeleton,High,Control
P31949,Cytoplasm,High,Control
P32119,Cytoskeleton,High,Control
P32455,Cytoplasm,High,Control
P32969,Cytoskeleton,High,Control
P34897,Mitochondria,High,Control
P34932,Cytoskeleton,High,Control
P35080,Cytoskeleton,High,Control
P35222,Cytoskeleton,High,Control
P35232,Cytoskeleton,High,Control
P35237,Cytoplasm,High,Control
P35241,Cytoskeleton,High,Control
P35244,Cytoskeleton,High,Control
P35268,Cytoskeleton,High,Control
P35270,Cytoskeleton,High,Control
P35573,Cytoskeleton,High,Control
P35579,Cytoskeleton,High,Control
P35580,Cytoskeleton,High,Control
P35606,Endoplasmic Reticulum,High,Control
P35609,Cytoskeleton,High,Control
P35611,Cytoskeleton,High,Control
P35612,Cytoskeleton,High,Control
P35749,Nucleus,High,Control
P36405,Cytoskeleton,High,Control
P36507,Endoplasmic Reticulum,High,Control
P36542,Cytoskeleton,High,Control
P36543,Cytoskeleton,High,Control
P36578,Cytoskeleton,High,Control
P36776,Cytoskeleton,High,Control
P36871,Cytoskeleton,High,Control
P36955,Endoplasmic Reticulum,High,Control
P36957,Cytoskeleton,High,Control
P36959,Cytoplasm,High,Control
P37802,Cytoplasm,High,Control
P37837,Cytoskeleton,High,Control
P37840,Cytoskeleton,High,Control
P38117,Cytoskeleton,High,Control
P38159,Nucleus,High,Control
P38606,Cytoskeleton,High,Control
P38646,Cytoskeleton,High,Control
P38919,Nucleus,High,Control
P39023,Cytoskeleton,High,Control
P39060,Nucleus,High,Control
P39210,Postsynapse,High,Control
P39656,Endoplasmic Reticulum,High,Control
P40123,Cytoskeleton,High,Control
P40227,Cytoskeleton,High,Control
P40616,Endoplasmic Reticulum,High,Control
P40763,Endoplasmic Reticulum,High,Control
P40925,Cytoskeleton,High,Control
P40926,Cytoskeleton,High,Control
P40939,Cytoskeleton,High,Control
P41222,Cytoskeleton,High,Control
P41240,Endoplasmic Reticulum,High,Control
P41250,Cytoskeleton,High,Control
P41586,Endoplasmic Reticulum,High,Control
P41732,Endoplasmic Reticulum,High,Control
P42025,Cytoskeleton,High,Control
P42126,Cytoplasm,High,Control
P42167,Nucleus,High,Control
P42356,Plasma membrane,High,Control
P42658,Cytoskeleton,High,Control
P42704,Cytoskeleton,High,Control
P42765,Cytoskeleton,High,Control
P42858,Endoplasmic Reticulum,High,Control
P43003,Cytoskeleton,High,Control
P43004,Cytoskeleton,High,Control
P43034,Cytoskeleton,High,Control
P43243,Cytoskeleton,High,Control
P43304,Cytoskeleton,High,Control
P43490,Cytoskeleton,High,Control
P43897,Postsynapse,High,Control
P45880,Cytoskeleton,High,Control
P45954,Mitochondria,High,Control
P45974,Cytoskeleton,High,Control
P46109,Cytoskeleton,High,Control
P46379,Endoplasmic Reticulum,High,Control
P46459,Cytoskeleton,High,Control
P46776,Cytoskeleton,High,Control
P46777,Cytoskeleton,High,Control
P46781,Cytoskeleton,High,Control
P46782,Cytoskeleton,High,Control
P46783,Cytoskeleton,High,Control
P46821,Cytoskeleton,High,Control
P46926,Cytoskeleton,High,Control
P46976,Cytoplasm,High,Control
P47897,Endoplasmic Reticulum,High,Control
P47985,Cytoskeleton,High,Control
P48047,Cytoskeleton,High,Control
P48066,Endoplasmic Reticulum,High,Control
P48147,Cytoskeleton,High,Control
P48163,Cytoskeleton,High,Control
P48539,Cytoplasm,High,Control
P48553,Endoplasmic Reticulum,High,Control
P48643,Cytoskeleton,High,Control
P48735,Cytoskeleton,High,Control
P48739,Cytoplasm,High,Control
P49189,Cytoskeleton,High,Control
P49257,Endoplasmic Reticulum,High,Control
P49327,Cytoskeleton,High,Control
P49368,Cytoskeleton,High,Control
P49407,Cytoskeleton,High,Control
P49411,Cytoskeleton,High,Control
P49418,Cytoskeleton,High,Control
P49419,Cytoskeleton,High,Control
P49588,Cytoskeleton,High,Control
P49589,Cytoplasm,High,Control
P49591,Cytoskeleton,High,Control
P49720,Cytoskeleton,High,Control
P49748,Cytoskeleton,High,Control
P49755,Endoplasmic Reticulum,High,Control
P49773,Cytoskeleton,High,Control
P49802,Plasma membrane,High,Control
P49821,Cytoskeleton,High,Control
P49841,Endoplasmic Reticulum,High,Control
P49902,Cytoplasm,High,Control
P50135,Cytoplasm,High,Control
P50148,Cytoskeleton,High,Control
P50213,Cytoskeleton,High,Control
P50336,Mitochondria,High,Control
P50395,Cytoskeleton,High,Control
P50416,Endoplasmic Reticulum,High,Control
P50440,Cytoplasm,High,Control
P50453,Cytoplasm,High,Control
P50502,Cytoskeleton,High,Control
P50570,Cytoskeleton,High,Control
P50897,Cytoskeleton,High,Control
P50990,Cytoskeleton,High,Control
P50991,Cytoskeleton,High,Control
P50993,Cytoskeleton,High,Control
P50995,Cytoskeleton,High,Control
P51114,Endoplasmic Reticulum,High,Control
P51148,Cytoskeleton,High,Control
P51149,Cytoskeleton,High,Control
P51178,Cytoskeleton,High,Control
P51452,Cytoskeleton,High,Control
P51513,Endoplasmic Reticulum,High,Control
P51553,Cytoskeleton,High,Control
P51570,Endoplasmic Reticulum,High,Control
P51608,Nucleus,High,Control
P51649,Cytoskeleton,High,Control
P51659,Cytoskeleton,High,Control
P51693,Cytoplasm,High,Control
P51858,Cytoplasm,High,Control
P51911,Nucleus,High,Control
P51970,Cytoskeleton,High,Control
P51991,Cytoskeleton,High,Control
P52209,Cytoskeleton,High,Control
P52306,Cytoskeleton,High,Control
P52565,Cytoskeleton,High,Control
P52597,Nucleus,High,Control
P52758,Cytoskeleton,High,Control
P52888,Cytoplasm,High,Control
P52943,Cytoskeleton,High,Control
P53041,Cytoplasm,High,Control
P53396,Cytoskeleton,High,Control
P53618,Endoplasmic Reticulum,High,Control
P53621,Endoplasmic Reticulum,High,Control
P54289,Plasma membrane,High,Control
P54577,Cytoskeleton,High,Control
P54578,Cytoskeleton,High,Control
P54619,Endoplasmic Reticulum,High,Control
P54652,Cytoskeleton,High,Control
P54687,Cytoplasm,High,Control
P54727,Cytoplasm,High,Control
P54750,Cytoskeleton,High,Control
P54819,Cytoplasm,High,Control
P54920,Cytoskeleton,High,Control
P55010,Endoplasmic Reticulum,High,Control
P55060,Cytoskeleton,High,Control
P55072,Cytoskeleton,High,Control
P55084,Cytoskeleton,High,Control
P55087,Cytoskeleton,High,Control
P55196,Cytoskeleton,High,Control
P55209,Cytoskeleton,High,Control
P55263,Cytoplasm,High,Control
P55268,Nucleus,High,Control
P55290,Plasma membrane,High,Control
P55327,Cytoskeleton,High,Control
P55786,Cytoskeleton,High,Control
P55795,Cytoskeleton,High,Control
P55809,Cytoskeleton,High,Control
P55957,Cytoplasm,High,Control
P56134,Cytoskeleton,High,Control
P56181,Mitochondria,High,Control
P56192,Presynapse,High,Control
P56537,Endoplasmic Reticulum,High,Control
P57087,Endoplasmic Reticulum,High,Control
P58546,Cytoskeleton,High,Control
P59768,Cytoskeleton,High,Control
P60033,Cytoskeleton,High,Control
P60174,Cytoskeleton,High,Control
P60201,Cytoskeleton,High,Control
P60520,Cytoskeleton,High,Control
P60660,Cytoskeleton,High,Control
P60709,Cytoskeleton,High,Control
P60880,Cytoskeleton,High,Control
P60891,Cytoskeleton,High,Control
P60900,Cytoskeleton,High,Control
P60953,Cytoskeleton,High,Control
P60981,Cytoskeleton,High,Control
P60983,Cytoskeleton,High,Control
P61011,Endoplasmic Reticulum,High,Control
P61018,Cytoskeleton,High,Control
P61019,Cytoskeleton,High,Control
P61020,Cytoskeleton,High,Control
P61026,Plasma membrane,High,Control
P61077,Cytoskeleton,High,Control
P61086,Cytoplasm,High,Control
P61088,Cytoskeleton,High,Control
P61106,Cytoskeleton,High,Control
P61163,Cytoskeleton,High,Control
P61201,Cytoskeleton,High,Control
P61247,Cytoskeleton,High,Control
P61266,Cytoskeleton,High,Control
P61353,Cytoskeleton,High,Control
P61421,Cytoskeleton,High,Control
P61586,Cytoskeleton,High,Control
P61604,Cytoskeleton,High,Control
P61619,Endoplasmic Reticulum,High,Control
P61758,Cytoskeleton,High,Control
P61764,Cytoskeleton,High,Control
P61769,Cytoskeleton,High,Control
P61916,Cytoplasm,High,Control
P61925,Cytoplasm,High,Control
P61970,Cytoskeleton,High,Control
P61978,Cytoskeleton,High,Control
P61981,Cytoskeleton,High,Control
P62081,Cytoskeleton,High,Control
P62140,Cytoskeleton,High,Control
P62191,Endoplasmic Reticulum,High,Control
P62241,Cytoskeleton,High,Control
P62249,Cytoskeleton,High,Control
P62258,Cytoskeleton,High,Control
P62266,Plasma membrane,High,Control
P62269,Cytoskeleton,High,Control
P62277,Cytoskeleton,High,Control
P62280,Cytoskeleton,High,Control
P62310,Cytoplasm,High,Control
P62314,Plasma membrane,High,Control
P62328,Cytoskeleton,High,Control
P62424,Cytoskeleton,High,Control
P62701,Cytoskeleton,High,Control
P62745,Cytoskeleton,High,Control
P62750,Cytoskeleton,High,Control
P62753,Cytoskeleton,High,Control
